NOTICE: 2018-10-24 14:26:49  reuqest_uri [/index.php/platmis/app/login] refer [http://127.0.0.1:8090/platmis/app/login]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:27:23  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:27:23  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":11,"db_query":1}] request and response done 
NOTICE: 2018-10-24 14:28:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:28:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":5,"db_query":1}] request and response done 
NOTICE: 2018-10-24 14:30:20  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:30:20  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":5,"db_query":1}] request and response done 
NOTICE: 2018-10-24 14:36:16  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:36:16  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":1}] request and response done 
NOTICE: 2018-10-24 14:39:19  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:39:19  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":9,"db_query":1}] request and response done 
NOTICE: 2018-10-24 14:39:22  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
